"team","opp_team","stage_num","year","simulation","diff_elo","avg_goals_scored","avg_opp_goals_taken","team_has_home_advt","group_team","group_opp_team","match_num","predictions_sim","pred_for_opp_team"
"Netherlands","France",2,2021,3,-97,2.06024096385542,1.40740740740741,0,4,3,2,0,3
"United States","France",2,2021,8,-346,1.46428571428571,1.40740740740741,0,5,6,7,1,2
"Italy","Germany",2,2021,6,42,1.74007220216607,1.18041237113402,0,3,4,2,1,1
"Netherlands","Germany",2,2021,5,39,2.06024096385542,1.18041237113402,0,7,8,4,1,3
"United States","Germany",2,2021,7,-210,1.46428571428571,1.18041237113402,0,3,4,6,1,1
"Italy","Germany",2,2021,2,42,1.74007220216607,1.18041237113402,0,3,4,2,1,2
"Spain","Iran",2,2021,9,287,2.00704225352113,0.785597381342062,-1,4,3,6,1,1
"Portugal","Italy",2,2021,1,41,1.69009584664537,0.98676293622142,0,2,1,1,2,1
"Portugal","Italy",2,2021,4,41,1.69009584664537,0.98676293622142,0,8,7,8,0,1
"Nigeria","Japan",2,2021,4,-74,1.49295774647887,1.19302949061662,-1,7,8,4,0,1
"Spain","Japan",2,2021,2,306,2.00704225352113,1.19302949061662,-1,6,5,3,1,1
"Spain","Mexico",2,2021,8,119,2.00704225352113,1.04427645788337,0,3,4,2,0,0
"Netherlands","Mexico",2,2021,10,64,2.06024096385542,1.04427645788337,0,1,2,5,0,0
"Netherlands","Mexico",2,2021,4,64,2.06024096385542,1.04427645788337,0,4,3,6,0,1
"Senegal","Morocco",2,2021,2,75,1.32565789473684,0.873239436619718,0,1,2,1,0,1
"Portugal","Nigeria",2,2021,8,369,1.69009584664537,1.02660406885759,0,7,8,4,5,0
"Uruguay","Portugal",2,2021,3,-85,1.5968253968254,1.15654952076677,0,6,5,3,2,0
"Uruguay","Portugal",2,2021,2,-85,1.5968253968254,1.15654952076677,0,7,8,8,1,4
"Uruguay","Spain",2,2021,10,-96,1.5968253968254,0.902816901408451,0,4,3,2,0,2
"Wales","Switzerland",2,2021,9,-42,1.24590163934426,1.6875,0,5,6,3,0,2
"Uruguay","Switzerland",2,2021,7,83,1.5968253968254,1.6875,0,1,2,5,1,4
