"simulation","winners","second_places","third_places","fourth_places"
172,"Brazil","Croatia","France","Colombia"
173,"Brazil","France","Mexico","Senegal"
174,"Germany","Netherlands","Italy","England"
175,"Uruguay","France","Croatia","Wales"
176,"Portugal","Belgium","Brazil","Spain"
177,"France","Croatia","Netherlands","Belgium"
178,"Italy","Uruguay","Spain","Morocco"
179,"Spain","Brazil","Uruguay","Algeria"
180,"Belgium","Brazil","Croatia","Germany"
181,"Netherlands","France","Mexico","Germany"
182,"Spain","Germany","France","England"
183,"Mexico","Belgium","Uruguay","Germany"
184,"Belgium","Iran","Netherlands","Korea Republic"
185,"Belgium","Brazil","Portugal","Netherlands"
186,"Denmark","Nigeria","Spain","Croatia"
187,"Netherlands","Chile","France","England"
188,"Uruguay","France","Belgium","Croatia"
189,"Netherlands","England","France","Argentina"
190,"Netherlands","Mexico","Uruguay","Argentina"
191,"Spain","France","Mexico","Croatia"
192,"Brazil","Portugal","Colombia","Croatia"
193,"Brazil","Colombia","Italy","Belgium"
194,"Portugal","Uruguay","Croatia","United States"
195,"Brazil","Belgium","France","Mexico"
196,"Germany","Italy","Portugal","Argentina"
197,"Brazil","Argentina","Germany","Netherlands"
198,"Denmark","Italy","Portugal","Senegal"
199,"Belgium","Brazil","Mexico","Spain"
200,"Denmark","Croatia","Spain","Mexico"
201,"Belgium","Uruguay","Germany","Iran"
202,"Belgium","Colombia","Italy","Brazil"
203,"Belgium","Brazil","Spain","Uruguay"
204,"Brazil","Italy","France","Croatia"
205,"Brazil","England","France","Uruguay"
206,"Croatia","Italy","Netherlands","Uruguay"
207,"Brazil","France","Belgium","Italy"
208,"England","Brazil","Spain","Germany"
209,"Argentina","Brazil","Mexico","England"
210,"Belgium","Croatia","Mexico","Spain"
211,"England","Brazil","France","Colombia"
212,"Belgium","Netherlands","Spain","France"
213,"Germany","Denmark","Senegal","Wales"
214,"Brazil","Spain","Netherlands","Argentina"
215,"Belgium","Portugal","Senegal","Uruguay"
216,"Netherlands","Belgium","Germany","Argentina"
217,"Argentina","Spain","Brazil","Mexico"
218,"Brazil","Argentina","Senegal","Italy"
219,"Belgium","Argentina","Brazil","Senegal"
220,"Italy","Poland","Mexico","Japan"
221,"France","England","Portugal","Croatia"
222,"Netherlands","England","Spain","Argentina"
223,"Brazil","Algeria","Iran","Mexico"
224,"Germany","Switzerland","Spain","Uruguay"
225,"Brazil","Belgium","Germany","Iran"
226,"Brazil","Denmark","Argentina","Spain"
227,"Brazil","Senegal","England","France"
228,"Brazil","Italy","Netherlands","Poland"
229,"Belgium","France","Spain","Netherlands"
230,"Croatia","Italy","Australia","England"
231,"Uruguay","Portugal","Japan","Brazil"
232,"Italy","France","Spain","Chile"
233,"Brazil","Argentina","Portugal","France"
234,"Uruguay","Belgium","England","Spain"
235,"Portugal","Iran","Japan","Italy"
236,"France","Netherlands","England","Colombia"
237,"Italy","Netherlands","Argentina","Uruguay"
238,"Iran","Argentina","Mexico","Chile"
239,"England","Portugal","Croatia","Netherlands"
240,"Argentina","England","Iran","Denmark"
241,"Argentina","Korea Republic","England","Colombia"
242,"Netherlands","Spain","Portugal","Australia"
243,"Argentina","Spain","Uruguay","Korea Republic"
244,"Brazil","Denmark","Argentina","Portugal"
245,"France","Mexico","Tunisia","Switzerland"
246,"France","Belgium","Netherlands","Germany"
247,"France","Uruguay","Belgium","Argentina"
248,"Denmark","Italy","Germany","Spain"
249,"Japan","France","Germany","Wales"
250,"Belgium","Portugal","Japan","Iran"
251,"Portugal","Spain","Australia","France"
252,"Belgium","Uruguay","Italy","Senegal"
253,"Belgium","Germany","Netherlands","Spain"
254,"Korea Republic","Colombia","Portugal","Belgium"
255,"Italy","Morocco","Mexico","England"
256,"France","Italy","Netherlands","Germany"
257,"France","Croatia","Italy","Netherlands"
258,"Uruguay","Spain","Italy","Mexico"
259,"Italy","Spain","Brazil","Japan"
260,"Brazil","England","Germany","Colombia"
261,"Argentina","Qatar","Mexico","Belgium"
262,"Italy","England","Argentina","Australia"
263,"Argentina","Brazil","Belgium","England"
264,"France","England","Japan","Chile"
265,"Portugal","Belgium","Brazil","Croatia"
266,"England","Algeria","Mexico","Portugal"
267,"Netherlands","Brazil","Iran","Switzerland"
268,"Italy","Mexico","Brazil","England"
269,"Spain","Belgium","Netherlands","Portugal"
270,"Brazil","Japan","Spain","France"
271,"Brazil","Italy","Spain","France"
272,"France","Portugal","Belgium","Netherlands"
273,"England","Iran","Brazil","Uruguay"
274,"France","Portugal","Brazil","Japan"
275,"Wales","Chile","Senegal","Korea Republic"
276,"England","Spain","Italy","Korea Republic"
277,"Belgium","Denmark","Spain","Japan"
278,"Belgium","Switzerland","Spain","Iran"
279,"Portugal","Colombia","Netherlands","Morocco"
280,"Italy","Uruguay","Brazil","France"
281,"Spain","Japan","France","Senegal"
282,"Spain","England","Argentina","Japan"
283,"Denmark","Uruguay","England","Germany"
284,"Brazil","Croatia","Wales","Uruguay"
285,"Belgium","Mexico","England","Iran"
286,"France","Iran","Portugal","Spain"
287,"Portugal","Spain","Netherlands","France"
288,"Spain","Chile","Croatia","Australia"
289,"Germany","Spain","Argentina","Switzerland"
290,"Uruguay","Germany","Wales","Iran"
291,"Brazil","United States","Portugal","Croatia"
292,"Netherlands","Colombia","Croatia","Belgium"
293,"Netherlands","Spain","Italy","Argentina"
294,"Germany","Portugal","England","France"
295,"Argentina","Belgium","France","Netherlands"
296,"Belgium","Brazil","Portugal","Spain"
297,"England","Switzerland","Germany","Colombia"
298,"Argentina","England","Belgium","Netherlands"
299,"Belgium","Chile","Australia","Italy"
300,"Portugal","Brazil","Argentina","Uruguay"
301,"Croatia","Senegal","France","Italy"
302,"Brazil","Costa Rica","United States","Iran"
303,"France","Netherlands","England","Uruguay"
304,"Spain","Croatia","Portugal","Germany"
305,"Belgium","Brazil","Iran","United States"
306,"France","Germany","Croatia","Portugal"
307,"France","Belgium","Denmark","Japan"
308,"Croatia","Belgium","Portugal","Colombia"
309,"Brazil","Argentina","Spain","Iran"
310,"England","Spain","Brazil","Tunisia"
311,"England","Mexico","Spain","United States"
312,"Belgium","Brazil","Spain","Algeria"
313,"Netherlands","Italy","Belgium","Portugal"
314,"Belgium","England","Australia","Mexico"
315,"Portugal","Spain","Mexico","Australia"
316,"Mexico","Spain","England","Chile"
317,"England","Colombia","Brazil","Croatia"
318,"Belgium","Algeria","Italy","Germany"
319,"France","Belgium","Portugal","Spain"
320,"Brazil","Chile","Croatia","Denmark"
321,"Argentina","Croatia","Colombia","Senegal"
322,"Belgium","Italy","Argentina","Chile"
323,"Italy","France","Brazil","Germany"
324,"Belgium","Argentina","Germany","Australia"
325,"Belgium","Germany","Portugal","France"
326,"France","Switzerland","Brazil","England"
327,"Argentina","Portugal","Spain","Brazil"
328,"Germany","Belgium","England","Nigeria"
329,"Brazil","Belgium","Netherlands","France"
330,"Poland","Uruguay","Spain","Switzerland"
331,"Uruguay","Brazil","Argentina","Denmark"
332,"France","Mexico","Spain","Denmark"
333,"Italy","Costa Rica","Germany","Croatia"
334,"France","Belgium","Brazil","Qatar"
335,"Germany","Portugal","Belgium","Croatia"
336,"Belgium","Italy","Spain","Mexico"
337,"France","Mexico","Belgium","Algeria"
338,"Belgium","Portugal","Qatar","Algeria"
339,"Spain","Brazil","France","Colombia"
340,"Netherlands","Brazil","Uruguay","Spain"
341,"Brazil","Germany","France","Argentina"
342,"Germany","England","Croatia","Argentina"
343,"Denmark","France","Iran","Netherlands"
344,"Denmark","England","Brazil","Portugal"
345,"France","Korea Republic","Spain","Chile"
346,"Italy","Denmark","Brazil","Spain"
347,"Colombia","Belgium","Uruguay","France"
348,"Brazil","Spain","England","Uruguay"
349,"Italy","England","Brazil","Korea Republic"
350,"France","Switzerland","Brazil","Netherlands"
351,"Argentina","Brazil","England","Spain"
352,"Colombia","Italy","Belgium","Portugal"
353,"Spain","Belgium","Korea Republic","Argentina"
354,"Uruguay","Japan","France","England"
355,"France","Wales","Germany","England"
356,"Brazil","England","Croatia","Germany"
357,"Portugal","Mexico","Brazil","Belgium"
358,"Argentina","Mexico","England","Spain"
359,"Portugal","Spain","Belgium","Italy"
360,"Portugal","Netherlands","Mexico","France"
361,"England","Mexico","Netherlands","Portugal"
362,"Brazil","Korea Republic","Belgium","Colombia"
363,"France","Mexico","Spain","Croatia"
364,"Wales","Colombia","Brazil","Portugal"
365,"Belgium","Brazil","Portugal","United States"
366,"Brazil","Colombia","Argentina","England"
367,"Belgium","France","Colombia","Mexico"
368,"France","Germany","Belgium","Argentina"
369,"Belgium","Germany","England","Italy"
370,"Spain","Argentina","Italy","Poland"
371,"Qatar","United States","France","Germany"
372,"Portugal","Colombia","England","Iran"
373,"Spain","Argentina","Netherlands","Brazil"
374,"Portugal","Netherlands","Colombia","Brazil"
375,"England","Belgium","Spain","France"
376,"Netherlands","Portugal","France","Belgium"
377,"Uruguay","France","Argentina","Poland"
378,"Portugal","Mexico","Brazil","Germany"
379,"Netherlands","Portugal","France","Wales"
380,"France","Brazil","Spain","Germany"
381,"Brazil","France","Mexico","Uruguay"
382,"Belgium","Argentina","Uruguay","Mexico"
383,"Belgium","France","Brazil","Argentina"
384,"Portugal","Uruguay","France","Mexico"
385,"Brazil","Belgium","Switzerland","Mexico"
386,"Mexico","France","England","Netherlands"
387,"Belgium","Portugal","Italy","Spain"
388,"Italy","France","Denmark","Australia"
389,"Switzerland","Nigeria","Argentina","Germany"
390,"Japan","Germany","Argentina","Chile"
391,"Italy","Portugal","Mexico","Wales"
392,"Argentina","Italy","Mexico","Korea Republic"
393,"Argentina","Uruguay","Portugal","Australia"
394,"Belgium","Algeria","Brazil","Mexico"
395,"Wales","Qatar","Belgium","Korea Republic"
396,"Italy","Spain","Germany","Argentina"
397,"Denmark","Belgium","Brazil","Costa Rica"
398,"Italy","Portugal","Germany","Japan"
399,"Belgium","Germany","Italy","Iran"
400,"France","Portugal","Germany","Argentina"
401,"Germany","Argentina","Netherlands","Portugal"
402,"France","England","Nigeria","Poland"
403,"Argentina","Brazil","Netherlands","Mexico"
404,"Uruguay","Belgium","Portugal","Colombia"
405,"Brazil","Denmark","England","Germany"
406,"France","Netherlands","Spain","Brazil"
407,"Brazil","Italy","Argentina","Mexico"
408,"Uruguay","Belgium","England","Italy"
409,"France","Portugal","Spain","Qatar"
410,"Germany","Brazil","Argentina","Japan"
411,"Brazil","Germany","Argentina","France"
412,"Portugal","Mexico","France","Argentina"
413,"Belgium","Colombia","Spain","England"
414,"England","Portugal","Brazil","Germany"
415,"Argentina","Portugal","Brazil","Costa Rica"
416,"Netherlands","Argentina","France","Portugal"
417,"Belgium","Portugal","Denmark","Uruguay"
418,"England","Italy","Belgium","Croatia"
419,"Spain","Colombia","Brazil","Mexico"
420,"Colombia","Netherlands","Italy","Jamaica"
421,"Mexico","Japan","Germany","Portugal"
422,"Belgium","Portugal","Spain","France"
423,"Spain","Belgium","Brazil","Japan"
424,"Argentina","Uruguay","Portugal","Brazil"
425,"Portugal","Australia","Belgium","Denmark"
426,"Argentina","Korea Republic","Poland","Netherlands"
427,"Brazil","Portugal","Belgium","Germany"
428,"Croatia","Nigeria","Denmark","Algeria"
429,"Spain","Colombia","Portugal","Denmark"
430,"Belgium","Germany","Poland","Argentina"
431,"Mexico","Spain","France","Germany"
432,"Spain","Italy","Switzerland","Brazil"
433,"Brazil","Italy","Croatia","Belgium"
434,"Brazil","England","Denmark","Poland"
435,"Spain","Wales","France","Senegal"
436,"Belgium","Colombia","Spain","Brazil"
437,"France","Brazil","Australia","Belgium"
438,"Belgium","Qatar","Argentina","Mexico"
439,"Italy","Germany","Mexico","Spain"
440,"Netherlands","Argentina","Belgium","Spain"
441,"Uruguay","Portugal","France","Netherlands"
442,"Belgium","Brazil","France","Spain"
443,"Belgium","Brazil","Spain","Portugal"
444,"Denmark","Italy","Portugal","Chile"
445,"Uruguay","Belgium","Spain","Argentina"
446,"Brazil","Spain","Netherlands","England"
447,"Brazil","France","Portugal","Denmark"
448,"Spain","Portugal","Wales","Italy"
449,"France","Belgium","Wales","Croatia"
450,"England","Italy","Denmark","Portugal"
451,"United States","Denmark","Belgium","Germany"
452,"Belgium","Brazil","Croatia","Portugal"
453,"France","Mexico","Denmark","Brazil"
454,"Portugal","Brazil","Poland","England"
455,"Japan","Spain","Netherlands","Germany"
456,"Brazil","Portugal","Mexico","England"
457,"Spain","Belgium","England","Senegal"
458,"Belgium","Poland","Argentina","France"
459,"Chile","Spain","England","Belgium"
460,"Netherlands","Croatia","Korea Republic","United States"
461,"Brazil","Netherlands","Denmark","Colombia"
462,"Belgium","Croatia","Denmark","France"
463,"Italy","Belgium","Germany","Argentina"
464,"France","Poland","Spain","Belgium"
465,"Belgium","Netherlands","Chile","France"
466,"Italy","Brazil","Belgium","Mexico"
467,"Argentina","Denmark","Korea Republic","England"
468,"Brazil","Iran","Mexico","Italy"
469,"Brazil","Colombia","Wales","Netherlands"
470,"Brazil","Belgium","Costa Rica","Denmark"
471,"Spain","France","Colombia","Iran"
472,"France","England","Denmark","Switzerland"
473,"Senegal","Chile","Mexico","Spain"
474,"Spain","Denmark","Brazil","Poland"
475,"Iran","France","Croatia","Argentina"
476,"Portugal","Uruguay","Brazil","Spain"
477,"Belgium","Chile","Germany","Netherlands"
478,"Brazil","Netherlands","Italy","Uruguay"
479,"Croatia","Portugal","Italy","Brazil"
480,"Spain","Portugal","Brazil","Korea Republic"
481,"Portugal","Brazil","Spain","Croatia"
482,"Germany","Chile","France","Croatia"
483,"Netherlands","Brazil","Argentina","Poland"
484,"Brazil","Argentina","Morocco","Japan"
485,"France","England","Switzerland","Belgium"
486,"Italy","Argentina","Colombia","Netherlands"
487,"Belgium","Spain","Italy","Argentina"
488,"Netherlands","Italy","France","Chile"
489,"England","Mexico","Uruguay","France"
490,"Brazil","Uruguay","Belgium","Wales"
491,"Italy","Denmark","Netherlands","Uruguay"
492,"Netherlands","Argentina","Croatia","Uruguay"
493,"Mexico","Brazil","Japan","England"
494,"Portugal","Brazil","Spain","Netherlands"
495,"Netherlands","Spain","Belgium","England"
496,"Denmark","Portugal","Argentina","Mexico"
497,"Italy","Japan","Brazil","Qatar"
498,"Italy","Portugal","France","Netherlands"
499,"Netherlands","Uruguay","Denmark","Chile"
500,"France","Argentina","Netherlands","Spain"
501,"Italy","Netherlands","Portugal","Mexico"
502,"France","Denmark","Colombia","Chile"
503,"Brazil","Switzerland","Germany","Spain"
504,"Brazil","Portugal","Belgium","Germany"
505,"Belgium","Brazil","Portugal","Colombia"
506,"Belgium","Argentina","Brazil","England"
507,"Mexico","England","Denmark","Chile"
508,"Spain","Chile","Uruguay","Netherlands"
509,"Italy","Portugal","Spain","Iran"
510,"France","Colombia","Croatia","Portugal"
511,"Spain","France","Italy","Iran"
512,"Mexico","Switzerland","Poland","Brazil"
513,"Brazil","Italy","Germany","Colombia"
514,"Brazil","Germany","Spain","Switzerland"
515,"Belgium","Germany","Netherlands","Colombia"
516,"Denmark","Germany","England","Switzerland"
517,"Spain","Japan","France","Mexico"
518,"Brazil","Japan","Italy","Netherlands"
519,"France","Brazil","Germany","Italy"
520,"Italy","Belgium","Brazil","Portugal"
521,"Netherlands","Argentina","Portugal","France"
522,"France","Chile","Portugal","Argentina"
523,"Brazil","Argentina","France","Korea Republic"
524,"Brazil","Argentina","England","Italy"
525,"Croatia","Uruguay","Brazil","Argentina"
526,"Brazil","Senegal","France","Belgium"
527,"Uruguay","Germany","Brazil","Belgium"
528,"Belgium","Argentina","Netherlands","Brazil"
529,"Belgium","Argentina","Croatia","United States"
530,"Brazil","Wales","France","Germany"
531,"Germany","Brazil","Portugal","Poland"
532,"Belgium","Argentina","France","Spain"
533,"Spain","Belgium","France","Korea Republic"
534,"Italy","Spain","England","Argentina"
535,"England","Netherlands","Brazil","Italy"
536,"France","Germany","Spain","Portugal"
537,"Portugal","England","Belgium","Brazil"
538,"France","Belgium","Netherlands","Spain"
539,"France","Brazil","Italy","Belgium"
540,"Portugal","Netherlands","Italy","Mexico"
541,"Germany","Belgium","Morocco","Australia"
542,"Brazil","France","Switzerland","Spain"
543,"Brazil","Argentina","Portugal","Denmark"
544,"Brazil","Uruguay","Denmark","Germany"
545,"Denmark","Spain","Senegal","Argentina"
546,"Denmark","England","France","Belgium"
547,"Spain","Brazil","Germany","Netherlands"
548,"Uruguay","England","Brazil","Spain"
549,"Brazil","France","Spain","Italy"
550,"France","Croatia","Argentina","Belgium"
551,"France","Belgium","Spain","Wales"
552,"France","Mexico","Belgium","Denmark"
553,"Netherlands","Portugal","Switzerland","Senegal"
554,"Brazil","Mexico","France","United States"
555,"Japan","France","Colombia","Morocco"
556,"Italy","Mexico","Brazil","Netherlands"
557,"Belgium","Denmark","Korea Republic","England"
558,"Portugal","Algeria","Denmark","England"
559,"Spain","Netherlands","Italy","Tunisia"
560,"England","Italy","Brazil","Japan"
561,"Netherlands","Germany","Denmark","Uruguay"
562,"Belgium","Netherlands","France","Uruguay"
563,"Uruguay","Netherlands","Belgium","France"
564,"Brazil","Germany","France","Colombia"
565,"France","Brazil","Iran","Colombia"
566,"Netherlands","Italy","Iran","Poland"
567,"England","Belgium","Argentina","Brazil"
568,"Colombia","Portugal","Netherlands","Argentina"
569,"Portugal","Mexico","Colombia","Brazil"
570,"Belgium","France","Argentina","Croatia"
571,"Brazil","Uruguay","Argentina","Denmark"
572,"Portugal","Spain","Wales","Denmark"
573,"Belgium","Brazil","Chile","France"
574,"Spain","Germany","Brazil","Uruguay"
575,"Spain","England","Belgium","Germany"
576,"France","England","Brazil","Colombia"
577,"Japan","Portugal","France","Brazil"
578,"Uruguay","Spain","Mexico","Argentina"
579,"Uruguay","Senegal","Netherlands","Australia"
580,"Portugal","Mexico","Croatia","Germany"
581,"France","Spain","Argentina","Netherlands"
582,"Brazil","Belgium","Colombia","England"
583,"France","Belgium","Mexico","Portugal"
584,"Spain","Netherlands","Uruguay","Denmark"
585,"Brazil","Italy","Germany","England"
586,"Italy","Spain","Belgium","France"
587,"Belgium","Portugal","Spain","Brazil"
588,"Spain","Belgium","Italy","Qatar"
589,"Belgium","Costa Rica","Tunisia","Argentina"
590,"England","Spain","Argentina","Portugal"
591,"England","Belgium","Korea Republic","Chile"
592,"Croatia","Spain","Qatar","Belgium"
593,"Brazil","Croatia","Uruguay","England"
594,"Brazil","Spain","Italy","Portugal"
595,"Netherlands","Denmark","France","Belgium"
596,"Portugal","Uruguay","Mexico","Spain"
597,"Uruguay","Belgium","Italy","Iran"
598,"Argentina","Germany","Chile","Poland"
599,"Spain","Australia","Portugal","Belgium"
600,"Korea Republic","Italy","Portugal","France"
601,"England","Algeria","Japan","Spain"
602,"Spain","Japan","Mexico","Germany"
603,"Brazil","Belgium","Italy","Uruguay"
604,"Brazil","Germany","England","Argentina"
605,"Brazil","Italy","Portugal","Netherlands"
606,"Chile","Mexico","Argentina","Germany"
607,"Denmark","Argentina","Brazil","France"
608,"Brazil","France","Portugal","Italy"
609,"Brazil","Portugal","Switzerland","Iran"
610,"England","United States","Spain","Netherlands"
611,"Belgium","Poland","France","Brazil"
612,"Brazil","France","Germany","Korea Republic"
613,"Brazil","Belgium","Portugal","Colombia"
614,"Brazil","Portugal","Mexico","Denmark"
615,"Spain","Netherlands","England","Costa Rica"
616,"Portugal","Italy","Poland","Brazil"
617,"Germany","Italy","Brazil","Algeria"
618,"Portugal","Chile","Germany","Spain"
619,"Brazil","United States","Denmark","Iran"
620,"Spain","Germany","Portugal","Algeria"
621,"Argentina","Portugal","Brazil","Spain"
622,"Belgium","France","Mexico","Morocco"
623,"Belgium","Wales","Denmark","England"
624,"Spain","England","Brazil","France"
625,"Italy","Mexico","Chile","England"
626,"Brazil","Iran","Croatia","Colombia"
627,"Brazil","Portugal","Italy","Denmark"
628,"Brazil","Portugal","Spain","Argentina"
629,"Germany","Argentina","Belgium","Portugal"
630,"France","Brazil","England","Belgium"
631,"Brazil","Belgium","France","Uruguay"
632,"England","Italy","Chile","Germany"
633,"France","Italy","Uruguay","Portugal"
634,"Brazil","Portugal","Spain","Netherlands"
635,"Belgium","France","Italy","Portugal"
636,"Uruguay","Denmark","Switzerland","Belgium"
637,"Brazil","Australia","France","Portugal"
